time,open,high,low,close
-449636400,0.89,0.89,0.89,0.89
-447127200,0.89,0.89,0.89,0.89
-444535200,0.89,0.89,0.89,0.89
-441770400,0.92,0.92,0.92,0.92
-439178400,0.92,0.92,0.92,0.92
-436672800,0.92,0.92,0.92,0.92
-433908000,0.92,0.92,0.92,0.92
-431406000,0.92,0.92,0.92,0.92
-428727600,0.92,0.92,0.92,0.92
-426049200,0.92,0.92,0.92,0.92
-423457200,0.92,0.92,0.92,0.92
-420606000,0.92,0.92,0.92,0.92
-418186800,0.92,0.92,0.92,0.92
-415504800,0.92,0.92,0.92,0.92
-412740000,0.92,0.92,0.92,0.92
-410234400,0.92,0.92,0.92,0.92
-407556000,0.92,0.92,0.92,0.92
-405136800,0.92,0.92,0.92,0.92
-402458400,0.92,0.92,0.92,0.92
-399870000,0.92,0.92,0.92,0.92
-397018800,0.92,0.92,0.92,0.92
-394599600,0.92,0.92,0.92,0.92
-391921200,0.92,0.92,0.92,0.92
-389156400,0.92,0.92,0.92,0.92
-386650800,0.92,0.92,0.92,0.92
-383968800,0.92,0.92,0.92,0.92
-381290400,0.92,0.92,0.92,0.92
-378698400,0.89,0.89,0.89,0.89
-375847200,0.89,0.89,0.89,0.89
-373428000,0.89,0.89,0.89,0.89
-370922400,0.89,0.89,0.89,0.89
-368334000,0.89,0.89,0.89,0.89
-365569200,0.89,0.89,0.89,0.89
-363063600,0.89,0.89,0.89,0.89
-360385200,0.89,0.89,0.89,0.89
-357706800,0.89,0.89,0.89,0.89
-355114800,0.89,0.89,0.89,0.89
-352260000,0.89,0.89,0.89,0.89
-349840800,0.89,0.89,0.89,0.89
-347162400,0.92,0.92,0.92,0.92
-344397600,0.92,0.92,0.92,0.92
-341978400,0.92,0.92,0.92,0.92
-339386400,0.92,0.92,0.92,0.92
-336798000,0.92,0.92,0.92,0.92
-334119600,0.92,0.92,0.92,0.92
-331527600,0.92,0.92,0.92,0.92
-328676400,0.92,0.92,0.92,0.92
-326170800,0.92,0.92,0.92,0.92
-323578800,0.92,0.92,0.92,0.92
-320810400,0.92,0.92,0.92,0.92
-318304800,0.92,0.92,0.92,0.92
-315626400,0.92,0.92,0.92,0.92
-312948000,0.92,0.92,0.92,0.92
-310442400,0.92,0.92,0.92,0.92
-307764000,0.92,0.92,0.92,0.92
-305089200,0.92,0.92,0.92,0.92
